Segment,Window Size (Sent)
1,1024
2,2048
3,2048
4,4096
5,4096
6,4096
7,4096
8,8192
9,8192
10,8192
11,8192
12,8192
13,8192
14,8192
15,8192
16,16384
17,16384
18,16384
19,16384
20,16384
21,16384
22,16384
23,16384
24,16384
25,16384
26,16384
27,16384
28,16384
29,16384
30,16384
31,16384
32,32768
33,32768
34,32768
35,32768
36,32768
37,32768
38,32768
39,32768
40,32768
41,32768
42,32768
43,32768
44,32768
45,32768
46,32768
47,32768
48,32768
49,32768
50,32768
51,32768
52,32768
53,32768
54,32768
55,32768
56,32768
57,32768
58,32768
59,32768
60,32768
61,32768
62,32768
63,32768
64,65536
65,65536
66,65536
67,65536
68,65536
69,65536
70,65536
71,65536
72,65536
73,65536
74,65536
75,65536
76,65536
77,65536
78,65536
79,65536
80,65536
81,65536
82,65536
83,65536
84,65536
85,65536
86,65536
87,65536
88,65536
89,65536
90,65536
91,65536
92,65536
93,65536
94,65536
95,65536
96,65536
97,65536
98,65536
99,65536
100,65536
101,65536
102,65536
103,65536
104,65536
105,65536
106,65536
107,65536
108,65536
109,65536
110,65536
111,65536
112,65536
113,65536
114,65536
115,65536
116,65536
117,65536
118,65536
119,65536
120,65536
121,65536
122,65536
123,65536
124,65536
125,65536
126,65536
127,65536
128,65536
129,65536
130,65536
131,65536
132,65536
133,65536
134,65536
135,65536
136,65536
137,65536
138,65536
139,65536
140,65536
141,65536
142,65536
143,65536
144,65536
145,65536
146,65536
147,65536
148,65536
149,65536
150,65536
151,65536
152,65536
153,65536
154,65536
155,65536
156,65536
157,65536
158,65536
159,65536
160,65536
161,65536
162,65536
163,65536
164,65536
165,65536
166,65536
167,65536
168,65536
169,65536
170,65536
171,65536
172,65536
173,65536
174,65536
175,65536
176,65536
177,65536
178,65536
179,65536
180,65536
181,65536
182,65536
183,65536
184,65536
185,65536
186,65536
187,65536
188,65536
189,65536
190,65536
191,65536
192,32768
193,32768
194,32768
195,32768
196,32768
197,32768
198,32768
199,32768
200,32768
201,32768
202,32768
203,32768
204,32768
205,32768
206,32768
207,32768
208,32768
209,32768
210,32768
211,32768
212,32768
213,32768
214,32768
215,32768
216,32768
217,32768
218,32768
219,32768
220,32768
221,32768
222,32768
223,32768
224,33792
225,33792
226,33792
227,33792
228,33792
229,33792
230,33792
231,33792
232,33792
233,33792
234,33792
235,33792
236,33792
237,33792
238,33792
239,33792
240,33792
241,33792
242,33792
243,33792
244,33792
245,33792
246,33792
247,33792
248,33792
249,33792
250,33792
251,33792
252,33792
253,33792
254,33792
255,33792
256,33792
257,34816
258,34816
259,34816
260,34816
261,34816
262,34816
263,34816
264,34816
265,34816
266,34816
267,34816
268,34816
269,34816
270,34816
271,34816
272,34816
273,34816
274,34816
275,34816
276,34816
277,34816
278,34816
279,34816
280,34816
281,34816
282,34816
283,34816
284,34816
285,34816
286,34816
287,34816
288,34816
289,34816
290,34816
291,17408
292,17408
293,17408
294,17408
295,17408
296,17408
297,17408
298,17408
299,17408
300,17408
301,17408
302,17408
303,17408
304,17408
305,17408
306,17408
307,17408
308,18432
309,18432
310,18432
311,18432
312,18432
313,18432
314,18432
315,18432
316,18432
317,18432
318,18432
319,18432
320,18432
321,18432
322,18432
323,18432
324,18432
325,18432
326,19456
327,19456
328,19456
329,19456
330,19456
331,19456
332,19456
333,19456
334,19456
335,19456
336,19456
337,19456
338,19456
339,19456
340,19456
341,19456
342,19456
343,19456
344,19456
345,20480
346,20480
347,20480
348,20480
349,20480
350,20480
351,20480
352,20480
353,20480
354,20480
355,20480
356,20480
357,20480
358,20480
359,20480
360,20480
361,20480
362,20480
363,20480
364,20480
365,21504
366,21504
367,21504
368,21504
369,21504
370,21504
371,21504
372,21504
373,21504
374,21504
